X [ m ], Y [ m ], Z [ m ], Area [ m^2 ], Gas.Volume Fraction.Trnavg, kla [ s^-1 ], Liquid.Velocity.Trnavg Axial [ m s^-1 ], Liquid.Velocity.Trnavg Radial [ m s^-1 ], Ostar [ kg m^-3 ], Radius [ m ]
0.0087283738,0.000365793938,-0.00872837473,0.00275103282,0.0162777174,0.00724251149,0.00261550304,0.00589244999,0.0200833771,0.0152923111
0.00430194382,0.000392272486,-0.00430194475,0.00326001621,0.0162668303,0.00724070147,0.00261923531,0.00849633757,0.0200848617,0.0170242414
0.0807510242,0.00348209729,-0.0807510242,0.00447714236,0.0162305646,0.00781707186,0.00023071497,0.049451828,0.0200948659,0.114443488
-0.0817088336,0.00363417156,0.0817088336,0.00635355152,0.0158685632,0.00763992174,-0.00484669721,0.125769556,0.0201273523,0.144916832
0.128352314,0.0056117489,-0.128352314,0.00192542525,0.0161895584,0.00813855883,-0.00120929116,0.0815422609,0.0201025065,0.183175057
0.13040936,0.00574359158,-0.13040936,0.000203693198,0.0161936395,0.00815794244,-0.000785382232,0.0814269111,0.0201054811,0.185306042
0.133524612,0.00607903255,-0.133524597,0.00480148941,0.0162089411,0.0081998948,-0.00119408628,0.0790076777,0.0201134421,0.18916069
-0.166603386,0.00934592076,0.166603401,0.00400164491,0.0156886056,0.00833754707,0.00419698469,0.136498213,0.0203088187,0.242277935
-0.189353302,0.011627865,0.189353317,0.00453956472,0.0157892574,0.00861692708,0.00698263897,0.139872789,0.0203734618,0.272459388
0.254246503,0.0208003893,-0.254246503,0.00731944293,0.0165541396,0.00975475181,-0.00358536677,-0.00895235501,0.0204770211,0.371974826
-0.291379154,0.0254464615,0.291379154,0.00356988306,0.0169095416,0.0104122199,0.012601831,-0.00849146768,0.0207675081,0.412078708
-0.29211536,0.0255507771,0.29211536,3.5440622e-05,0.0169174634,0.0104248757,0.0126275411,-0.00960827712,0.0207704473,0.4131428
-0.292219013,0.0255674105,0.292219013,3.22931919e-05,0.0169195756,0.0104269339,0.0126228454,-0.00981489103,0.020770859,0.413277805
-0.292879254,0.0256986395,0.292879254,0.00325932889,0.01694135,0.0104439268,0.0125056943,-0.0109221796,0.0207734536,0.414196849
0.326186687,0.0325431451,-0.326186687,0.00419405056,0.0176269263,0.0107880775,-0.0145458598,-0.154207647,0.0207665022,0.46663782
0.367546558,0.0403340124,-0.367546558,0.00446812762,0.0184700899,0.0114966175,-0.0207298212,-0.220029771,0.0209447183,0.523649454
-0.388662934,0.0450831689,0.388662964,0.00386604667,0.0200535841,0.0129763531,-0.00492688827,-0.180389613,0.0211665034,0.552003324
